,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP_Stweep_mic1_Normalized_FR,100.000,106.000,112.000,118.000,125.000,132.000,140.000,150.000,160.000,170.000,180.000,190.000,200.000,212.000,224.000,236.000,250.000,265.000,280.000,300.000,315.000,335.000,355.000,375.000,400.000,425.000,450.000,475.000,500.000,530.000,560.000,600.000,630.000,670.000,710.000,750.000,800.000,850.000,900.000,950.000,1000.000,1060.000,1120.000,1180.000,1250.000,1320.000,1400.000,1500.000,1600.000,1700.000,1800.000,1900.000,2000.000,2120.000,2240.000,2360.000,2500.000,2650.000,2800.000,3000.000,3150.000,3350.000,3550.000,3750.000,4000.000,4250.000,4500.000,4750.000,5000.000,5300.000,5600.000,6000.000,6300.000,6700.000,7100.000,7500.000,8000.000,8500.000,9000.000,9500.000,10000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. 1,-0.37575,-0.35529,-0.33605,-0.320949,-0.301386,-0.287356,-0.272479,-0.25102,-0.236626,-0.220117,-0.20984,-0.197267,-0.186665,-0.175793,-0.168293,-0.161656,-0.149142,-0.142122,-0.133788,-0.124695,-0.119561,-0.11064,-0.107183,-0.119562,-0.111737,-0.101486,-0.097232,-0.107191,-0.086562,-0.068127,-0.040381,-0.006819,-0.097513,-0.023293,-0.045081,-0.036999,-0.029229,-0.002658,0.002457,0.001132,0,0.001614,0.04946,0.045098,0.049174,0.070365,0.045128,0.118289,0.121379,0.136158,0.149478,0.195027,0.193899,0.256637,0.282666,0.327264,0.401704,0.459193,0.522136,0.608596,0.655537,0.781389,0.882628,1.028018,1.170967,1.313785,1.493727,1.681009,1.884872,2.131203,2.410873,2.770924,3.111305,3.588689,3.908822,4.502991,5.177518,5.929377,6.794451,7.690491,8.658892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. 2,-0.37467,-0.35316,-0.334673,-0.318507,-0.299545,-0.285295,-0.267183,-0.250112,-0.233546,-0.219936,-0.207035,-0.194776,-0.183454,-0.172376,-0.16523,-0.15635,-0.145729,-0.137543,-0.131585,-0.120639,-0.115074,-0.109288,-0.105212,-0.119596,-0.104821,-0.102257,-0.093013,-0.105111,-0.08431,-0.063633,-0.036299,-0.001796,-0.093534,-0.021038,-0.042647,-0.035323,-0.028419,0.003117,0.00275,0.006042,0,0.004074,0.064389,0.050947,0.057262,0.063719,0.048162,0.120978,0.124759,0.140083,0.145171,0.200515,0.192718,0.259991,0.278592,0.326594,0.404744,0.457755,0.521129,0.605735,0.652274,0.774253,0.876608,1.021472,1.161841,1.303384,1.480846,1.66715,1.867995,2.111624,2.388966,2.74581,3.08196,3.553563,3.867948,4.457235,5.121778,5.866286,6.719673,7.607338,8.560179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. 3,-0.379105,-0.357449,-0.339134,-0.322226,-0.305492,-0.288469,-0.272177,-0.254116,-0.237265,-0.223481,-0.210759,-0.199488,-0.188296,-0.17631,-0.167015,-0.1603,-0.151069,-0.142246,-0.135432,-0.125917,-0.11854,-0.10945,-0.109063,-0.116223,-0.112717,-0.103537,-0.091785,-0.107381,-0.09028,-0.067797,-0.038773,-0.004799,-0.096573,-0.022074,-0.046354,-0.040117,-0.035196,0.008218,-0.00231,0.001721,0,0.026275,0.029057,0.047482,0.046664,0.062827,0.045912,0.118502,0.122464,0.136578,0.144829,0.203976,0.187137,0.260867,0.285647,0.32946,0.402675,0.461948,0.524566,0.612176,0.656676,0.781307,0.885805,1.026568,1.170599,1.313989,1.494373,1.680655,1.88453,2.131469,2.411067,2.772056,3.110983,3.590956,3.912064,4.507256,5.182258,5.939064,6.801773,7.707418,8.680611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. 4,-0.387698,-0.366879,-0.347369,-0.331872,-0.314073,-0.297579,-0.280591,-0.261835,-0.245875,-0.231335,-0.219052,-0.207789,-0.198682,-0.185872,-0.176841,-0.168125,-0.159203,-0.152227,-0.145792,-0.134822,-0.127797,-0.123652,-0.119502,-0.130583,-0.119187,-0.112824,-0.100266,-0.117538,-0.09835,-0.075175,-0.051177,-0.010166,-0.109809,-0.031099,-0.058394,-0.051223,-0.049448,0.001563,-0.013676,-0.006058,0,0.006147,0.01322,0.030219,0.047551,0.05065,0.037569,0.106475,0.110972,0.127204,0.128111,0.19678,0.181528,0.244559,0.266868,0.313477,0.392957,0.446267,0.51305,0.596133,0.645333,0.766994,0.869955,1.013947,1.153698,1.300642,1.477208,1.663572,1.866268,2.114433,2.390664,2.752827,3.08627,3.564997,3.888104,4.479339,5.156972,5.91508,6.765945,7.666867,8.636642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. 5,-0.372797,-0.354293,-0.334771,-0.318682,-0.300402,-0.286089,-0.269052,-0.251389,-0.23383,-0.221534,-0.208119,-0.195713,-0.187079,-0.175968,-0.167478,-0.15811,-0.147913,-0.141256,-0.133916,-0.126754,-0.118969,-0.108577,-0.10624,-0.121626,-0.107389,-0.103843,-0.092996,-0.108303,-0.089489,-0.066833,-0.039163,-0.003373,-0.098516,-0.021824,-0.045929,-0.040976,-0.034739,0.010508,-0.001154,0.001886,0,0.024648,0.027814,0.045812,0.045766,0.066515,0.048612,0.11966,0.1238,0.13606,0.145226,0.200765,0.185849,0.260969,0.287898,0.329249,0.402491,0.461826,0.524536,0.610801,0.657729,0.780999,0.886201,1.025972,1.172062,1.314533,1.49532,1.682708,1.885967,2.133724,2.413956,2.774396,3.114682,3.591924,3.910941,4.50936,5.183479,5.937324,6.804572,7.707554,8.675202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. 6,-0.395096,-0.373569,-0.353906,-0.336801,-0.31831,-0.303687,-0.2867,-0.268001,-0.250934,-0.236719,-0.223267,-0.211823,-0.201663,-0.19011,-0.181617,-0.172678,-0.163646,-0.156078,-0.148593,-0.137552,-0.130539,-0.122551,-0.117836,-0.13379,-0.120404,-0.116335,-0.102066,-0.117341,-0.099704,-0.078506,-0.049864,-0.014558,-0.109484,-0.032277,-0.057518,-0.054313,-0.05305,0.004538,-0.013805,-0.005534,0,0.007129,0.012198,0.031219,0.049203,0.048612,0.033769,0.106424,0.10993,0.125084,0.125951,0.197793,0.181584,0.246686,0.262797,0.310256,0.388078,0.440448,0.503512,0.589372,0.637485,0.757057,0.858883,1.003213,1.141882,1.281741,1.46025,1.645152,1.845843,2.087942,2.364562,2.717475,3.052737,3.523154,3.834443,4.421245,5.083843,5.824143,6.674436,7.557924,8.506285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. 7,-0.377534,-0.355515,-0.336459,-0.319642,-0.302709,-0.285907,-0.270515,-0.252242,-0.236831,-0.219836,-0.210198,-0.198461,-0.187536,-0.173657,-0.167419,-0.15912,-0.149161,-0.141916,-0.134006,-0.126327,-0.118023,-0.109146,-0.10356,-0.114643,-0.109977,-0.102599,-0.095168,-0.110591,-0.084006,-0.068216,-0.038017,-0.002014,-0.095737,-0.020832,-0.044704,-0.037282,-0.028202,0.000055,0.003514,0.002092,0,0.002568,0.055861,0.049316,0.042538,0.069648,0.047373,0.119347,0.123857,0.137972,0.149624,0.195368,0.199824,0.256525,0.278811,0.325578,0.403081,0.458801,0.518965,0.604025,0.652572,0.775643,0.879006,1.020663,1.16294,1.301892,1.481369,1.666399,1.870847,2.112083,2.391458,2.74848,3.084895,3.558897,3.873415,4.463159,5.129394,5.875326,6.731557,7.621914,8.579553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. 8,-0.375464,-0.354126,-0.334509,-0.317686,-0.300201,-0.283346,-0.267071,-0.248783,-0.233887,-0.219544,-0.206782,-0.195329,-0.18477,-0.172084,-0.164758,-0.156259,-0.147746,-0.139229,-0.132625,-0.122561,-0.11491,-0.105846,-0.103158,-0.118884,-0.105192,-0.102149,-0.093166,-0.104574,-0.085439,-0.063767,-0.039891,-0.000318,-0.096106,-0.019743,-0.04374,-0.035919,-0.028452,-0.000672,0.001411,0.00552,0,0.00438,0.06134,0.055196,0.044307,0.065486,0.051251,0.12262,0.126552,0.140741,0.150308,0.194328,0.192722,0.264223,0.289,0.328642,0.406469,0.459243,0.523532,0.611018,0.656791,0.780948,0.88003,1.029291,1.170637,1.311343,1.492667,1.679482,1.883235,2.127549,2.407498,2.766243,3.105744,3.581835,3.900094,4.494161,5.164304,5.914886,6.779806,7.676069,8.640743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. 9,-0.379899,-0.360437,-0.340299,-0.324463,-0.30614,-0.29061,-0.274013,-0.255241,-0.238327,-0.223879,-0.211863,-0.199932,-0.190913,-0.17743,-0.172263,-0.161066,-0.151207,-0.143041,-0.136161,-0.125218,-0.121908,-0.110923,-0.109091,-0.118382,-0.11347,-0.103376,-0.093942,-0.107675,-0.092214,-0.068789,-0.040669,-0.004239,-0.099489,-0.023746,-0.048077,-0.040936,-0.036357,0.00792,-0.002028,0.00268,0,0.023452,0.027024,0.042456,0.04693,0.063877,0.044588,0.11892,0.121793,0.136414,0.142094,0.205203,0.187855,0.264717,0.287392,0.332679,0.403437,0.461571,0.524467,0.610461,0.657371,0.781598,0.886755,1.02694,1.172101,1.314531,1.496546,1.683924,1.889481,2.133977,2.416233,2.776673,3.117664,3.596729,3.918834,4.514562,5.1904,5.945834,6.814628,7.721187,8.69166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
